Dy_Mail_DL,First_Threshold,LM_Mail_DL,Ops_Mail_DL,Remedy_Queue,Second_Threshold,Third_Threshold,customer,yarn_queue
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,CPS,cps
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,CaPA,czcps
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,ES,ese2emigda
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,ES,esit
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,MC2,czmc2
dl-reference@vodafone.com,20,emp-1@vodafone.com,emp-2@vodafone.com,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,NWP,esnwp
dl-reference@vodafone.com,20,emp-1@vodafone.com,emp-2@vodafone.com,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,GR,grit
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,CZ,cznuc
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,0,d2
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,Others,datacmptor
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,DE,debi
dl-reference@vodafone.com,20,emp-1@vodafone.com,emp-2@vodafone.com,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,PT,ptit
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,CaPA,decps
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,MC2,demc2
dl-reference@vodafone.com,20,emp-1@vodafone.com,emp-2@vodafone.com,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,MC2,romc2
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,0,30,95,Dynamo,dyn02
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,CPS,escps
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,MC2,esmc2
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,MC2,grmc2
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,0,hf
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,CPS,itcps
dl-reference@vodafone.com,20,emp-1@vodafone.com,emp-2@vodafone.com,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,DE,deit
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,MC2,itmc2
dl-reference@vodafone.com,20,emp-1@vodafone.com,emp-2@vodafone.com,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,VBIT,desclr
dl-reference@vodafone.com,20,emp-1@vodafone.com,emp-2@vodafone.com,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,MC2,iemc2
dl-reference@vodafone.com,20,emp-1@vodafone.com,emp-2@vodafone.com,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,NWP,ronwp
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,VBIT,vbit
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,0,mock
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,OLYMPUS,olympus
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,0,pat2
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,0,pat3
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,0,ieit
dl-reference@vodafone.com,20,emp-1@vodafone.com,emp-2@vodafone.com,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,MC2,mc2
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,0,ptc2
dl-reference@vodafone.com,20,emp-1@vodafone.com,emp-2@vodafone.com,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,NWP,nwp
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,CPS,ptcps
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,CPS,rocps
dl-reference@vodafone.com,20,emp-1@vodafone.com,emp-2@vodafone.com,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,RO,roit
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,0,ukuat
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,CIP,vfcip
dl-reference@vodafone.com,20,emp-1@vodafone.com,0,VG DYNAMO-PIPELINES OPS-APPL ENT,30,95,VBIT,vbit
